ID,Специальность,Код,Наименование,Категория,Код_тарификатора,Синонимы
1,Акушер-гинеколог,1.0,Прием акушер-гинеколога,приём врача,A02.004.000,
2,Акушер-гинеколог,2.0,Ведение беременности,приём врача,D99.999.203,
3,Акушер-гинеколог,3.0,3D УЗИ плода,диагностика,C03.033.004,УЗИ; ультразвуковое исследование
4,Акушер-гинеколог,4.0,4D УЗИ плода,диагностика,C03.033.004,УЗИ; ультразвуковое исследование
5,Акушер-гинеколог,5.0,Доплер УЗИ плода,диагностика,C03.001.003,УЗИ; ультразвуковое исследование
6,Акушер-гинеколог,6.0,Кардиотокография (КТГ),процедура,C02.017.000,КТГ; Кардиотокография; кардиотокография
7,Акушер-гинеколог,8.0,Забор гинекологического мазка,процедура,D91.496.106,
8,Аллерголог,9.0,Прием аллерголога,приём врача,A02.120.000,
9,Аллерголог,10.0,Аллергопробы,процедура,D99.121.801,
10,Аллерголог,11.0,АСИТ-терапия,процедура,D99.125.805,
11,Андролог,12.0,Прием андролога,приём врача,A02.027.000,
12,Андролог,13.0,Биопсия простаты,процедура,C01.027.001,
13,Андролог,14.0,Массаж простаты,процедура,D99.940.603,
14,Андролог,15.0,Пластика уздечки,процедура,D64.991.608,
15,Андролог,16.0,Инстилляция уретры,процедура,D96.492.606,
16,Андролог,17.0,Инстилляция мочевого пузыря,процедура,D99.999.699,
17,Анестезиолог,18.0,Прием анестезиолога,приём врача,A02.043.000,
18,Аритмолог,19.0,Прием аритмолога,приём врача,A02.097.000,
19,Венеролог,20.0,Прием венеролога,приём врача,A02.029.000,
20,Вертебролог,21.0,Прием вертебролога,приём врача,A02.032.000,
21,Гастроэнтеролог,22.0,Прием гастроэнтеролога,приём врача,A02.022.000,
22,Гастроэнтеролог,23.0,Дуоденальное зондирование,процедура,D45.161.016,
23,Гастроэнтеролог,24.0,Тюбаж,процедура,D45.161.016,
24,Гастроэнтеролог,25.0,Уреазный дыхательный тест,процедура,C01.999.001,
25,Гастроэнтеролог,26.0,ФГДС,процедура,C01.001.001,
26,Гастроэнтеролог,27.0,ФГДС с седацией,процедура,C01.001.001,
27,Гастроэнтеролог,28.0,Колоноскопия,диагностика,C01.016.001,
28,Гематолог,29.0,Прием гематолога,приём врача,A02.024.000,
29,Генетик,30.0,Прием генетика,приём врача,A02.053.000,
30,Гепатолог,31.0,Прием гепатолога,приём врача,A02.022.007,
31,Гепатолог,32.0,Фибросканирование печени,процедура,C03.058.004,
32,Гепатолог,33.0,Эластография печени,процедура,C03.048.004,
33,Гинеколог,34.0,Прием гинеколога,приём врача,A02.004.000,
34,Гинеколог,35.0,Биопсия вульвы,процедура,D99.999.197,
35,Гинеколог,36.0,Биопсия шейки матки,процедура,D67.110.126,
36,Гинеколог,37.0,Видеокольпоскопия,процедура,C01.034.001,
37,Гинеколог,38.0,Гименопластика,процедура,D70.204.117,
38,Гинеколог,39.0,Вскрытие абсцесса бартолиновой железы,процедура,D71.250.124,
39,Гинеколог,40.0,Выскабливание,процедура,D69.090.129,
40,Гинеколог,41.0,Гистеросальпингография,процедура,C03.067.005,
41,Гинеколог,42.0,Гистероскопия,процедура,D68.120.131,
42,Гинеколог,43.0,Кольпоскопия,процедура,D70.210.117,
43,Гинеколог,44.0,Кольпорафия,процедура,D99.999.200,
